"Story","Title","Result","Date","Stability","Duration (s)"
"Reload Movistar","I in movistar App","SUCCESS","2023-06-15T19:31:36.2995965-05:00[America/Bogota]","0.0","110.99"
"Login Exito app","I in Exito","SUCCESS","2023-06-14T16:09:57.0453832-05:00[America/Bogota]","0.0","172.95"
